states,deaths,cases
Alabama,16265,851950
Alaska,862,152422
Arizona,23021,1312958
Arkansas,8840,538208
California,75468,5157293
Colorado,9813,859186
Connecticut,8972,439423
Delaware,2218,160124
Florida,62026,3713214
Georgia,29700,1644864
Hawaii,1050,86016
Idaho,4030,311719
Illinois,29842,1890044
Indiana,18014,1154552
Iowa,7550,546287
Kansas,6858,486980
Kentucky,11606,815487
Louisiana,14877,775935
Maine,1367,129997
Maryland,11255,592912
Massachusetts,19634,969589
Michigan,26880,1564627
Minnesota,9996,956903
Mississippi,10326,519115
Missouri,15715,954152
Montana,2822,193930
Nebraska,2863,320943
Nevada,8189,478082
New Hampshire,1781,174456
New Jersey,28568,1299601
New Mexico,5474,329778
New York,57622,2836160
North Carolina,18986,1566617
North Dakota,1989,167039
Ohio,27371,1776439
Oklahoma,11384,681346
Oregon,5381,400188
Pennsylvania,34571,1829351
Rhode Island,2957,201275
South Carolina,14375,929077
South Dakota,2398,171248
Tennessee,17574,1306191
Texas,74895,4381540
Utah,3640,610818
Vermont,429,55317
Virginia,14895,994069
Washington,9602,793102
West Virginia,5085,306552
Wisconsin,10386,1024195
Wyoming,1472,112862
